"medcode"	"readcode"	"readterm"	"newcat"
"90109"	"1T51.00"	"h/o weekly cocaine misuse"	"Drug misuse"
"9024"	"8B23.13"	"drug dependence therapy"	"Drug misuse"
"90271"	"1T61.00"	"h/o weekly crack cocaine misuse"	"Drug misuse"
"90442"	"1T22.00"	"h/o infrequent ecstasy misuse"	"Drug misuse"
"90664"	"1T40.00"	"h/o daily amphetamine misuse"	"Drug misuse"
"91029"	"1TD2.00"	"h/o infrequent opiate misuse"	"Drug misuse"
"91256"	"1TD3.00"	"previous history of opiate misuse"	"Drug misuse"
"91260"	"E249000"	"combined drug dependence, excluding opioid, unspecified"	"Drug misuse"
"91277"	"9HC5.00"	"substance misuse treatment programme completed"	"Drug misuse"
"91801"	"Eu11z00"	"[x]ment & behav dis due use opioids: unsp ment & behav dis"	"Drug misuse"
"91848"	"1T33.00"	"previous history of benzodiazepine misuse"	"Drug misuse"
"91939"	"9HC4.00"	"substance misuse treatment withdrawn"	"Drug misuse"
"92232"	"1T30.00"	"h/o daily benzodiazepine misuse"	"Drug misuse"
"92291"	"Eu16z00"	"[x]ment/behav dis due use hallucinogens: unsp ment/behav dis"	"Drug misuse"
"92353"	"E245000"	"hallucinogen dependence, unspecified"	"Drug misuse"
"92359"	"1T21.00"	"h/o weekly ecstasy misuse"	"Drug misuse"
"92404"	"1T10.00"	"h/o daily methadone misuse"	"Drug misuse"
"9273"	"Z416.00"	"substance abuse counselling"	"Drug misuse"
"92993"	"1T32.00"	"h/o infrequent benzodiazepine misuse"	"Drug misuse"
"93109"	"1T11.00"	"h/o weekly methadone misuse"	"Drug misuse"
"93193"	"1T73.00"	"previous history of hallucinogen misuse"	"Drug misuse"
"93263"	"1TA..00"	"h/o barbiturate misuse"	"Drug misuse"
"93412"	"13cM.00"	"substance misuse"	"Drug misuse"
"93528"	"1TB0.00"	"h/o daily major tranquilliser misuse"	"Drug misuse"
"93554"	"1T01.00"	"h/o weekly heroin misuse"	"Drug misuse"
"93774"	"1T31.00"	"h/o weekly benzodiazepine misuse"	"Drug misuse"
"93850"	"8HkF.00"	"referral to substance misuse service"	"Drug misuse"
"93979"	"8B2T.00"	"opioid antagonist therapy"	"Drug misuse"
"93980"	"8B2S.00"	"opioid agonist substitution therapy"	"Drug misuse"
"94436"	"E258z00"	"nondependent antidepressant type drug abuse nos"	"Drug misuse"
"94553"	"8HkG.00"	"referral to specialist alcohol treatment service"	"Alcohol misuse"
"94670"	"136W.00"	"alcohol misuse"	"Alcohol misuse"
"94686"	"8Hh1.00"	"self referral to substance misuse service"	"Drug misuse"
"94693"	"13r4.00"	"abstinent from drug misuse when receiving blocking therapy"	"Drug misuse"
"9489"	"9NN2.00"	"under care of community alcohol team"	"Alcohol misuse"
"9508"	"Eu10011"	"[x]acute alcoholic drunkenness"	"Alcohol misuse"
"95181"	"Z191211"	"alcohol reduction programme"	"Alcohol misuse"
"95380"	"1T20.00"	"h/o daily ecstasy misuse"	"Drug misuse"
"95396"	"1T90.00"	"h/o daily solvent misuse"	"Drug misuse"
"95953"	"E255300"	"nondependent opioid abuse in remission"	"Drug misuse"
"95955"	"E253100"	"nondependent hallucinogen abuse, continuous"	"Drug misuse"
"95956"	"E253200"	"nondependent hallucinogen abuse, episodic"	"Drug misuse"
"96004"	"L183z00"	"drug dependence during pregnancy/childbirth/puerperium nos"	"Drug misuse"
"96009"	"9HC6.00"	"substance misuse treatment declined"	"Drug misuse"
"96049"	"677T.00"	"substance misuse structured counselling"	"Drug misuse"
"96054"	"9k1B.00"	"extended intervention for excessive alcohol consumptn complt"	"Alcohol misuse"
"96198"	"1T7..00"	"h/o hallucinogen misuse"	"Drug misuse"
"96925"	"1V65.00"	"heroin misuse"	"Drug misuse"
"96993"	"8HkJ.00"	"referral to alcohol brief intervention service"	"Alcohol misuse"
"97025"	"1V...00"	"drug misuse behaviour"	"Drug misuse"
"97031"	"1V66.00"	"ecstasy misuse"	"Drug misuse"
"97261"	"8IAF.00"	"brief intervention for excessive alcohol consumptn declined"	"Alcohol misuse"
"97309"	"8CAv.00"	"advised to contact primary care alcohol worker"	"Alcohol misuse"
"97375"	"E246100"	"glue sniffing dependence, continuous"	"Drug misuse"
"97488"	"Eu11400"	"[x]men & behav dis due opioid: withdrawl state with delirium"	"Drug misuse"
"97578"	"1V0..00"	"misuses drugs"	"Drug misuse"
"97586"	"9k51.00"	"shared care drug misuse treatment - enhanced services admin"	"Drug misuse"
"97676"	"9k52.00"	"drug misuse treatment primary care - enhanced services admin"	"Drug misuse"
"97680"	"8IAJ.00"	"declined referral to specialist alcohol treatment service"	"Alcohol misuse"
"97698"	"1V02.00"	"poly-drug misuser"	"Drug misuse"
"98221"	"9No5.00"	"seen in substance misuse clinic"	"Drug misuse"
"98362"	"9kS..00"	"drug misuse assessment declined - enhanced services administ"	"Drug misuse"
"9849"	"8H7p.00"	"referral to community alcohol team"	"Alcohol misuse"
"98528"	"1V01.00"	"long-term drug misuser"	"Drug misuse"
"98566"	"9k53.00"	"pharmacy attended for drug misuse - enhanced services admin"	"Drug misuse"
